County,Total,"Less_than_$10,000_Perc","$10,000_to_$14,999_Perc","$15,000_to_$19,999_Perc","$20,000_to_$24,999_Perc","$25,000_to_$29,999_Perc","$30,000_to_$34,999_Perc","$35,000_to_$39,999_Perc","$40,000_to_$44,999_Perc","$45,000_to_$49,999_Perc","$50,000_to_$59,999_Perc","$60,000_to_$74,999_Perc","$75,000_to_$99,999_Perc","$100,000_to_$124,999_Perc","$125,000_to_$149,999_Perc","$150,000_to_$199,999_Perc","$200,000_or_more_Perc"
Tehama,886,3.3860,12.9797,9.8194,22.3476,2.4831,6.6591,0.0000,3.6117,8.8036,4.7404,0.0000,23.2506,0.2257,0.0000,0.0000,1.6930
Trinity,188,1.5957,39.3617,0.5319,12.2340,1.5957,0.0000,0.0000,6.9149,0.0000,0.0000,0.0000,31.9149,5.8511,0.0000,0.0000,0.0000
Tulare,22474,7.7912,6.3763,4.5030,6.5765,5.6910,6.3407,4.6098,5.7622,5.0903,10.3230,10.9549,13.0373,4.2894,3.4084,3.5285,1.7175
Tuolumne,370,0.0000,0.0000,0.0000,0.0000,4.0541,0.0000,10.2703,0.0000,7.5676,3.5135,4.5946,24.5946,19.7297,19.1892,6.4865,0.0000
Ventura,10836,2.9623,2.6024,3.4238,2.4179,3.3776,3.8760,3.7468,5.4540,4.4112,6.5615,10.4467,14.5164,10.6774,9.4961,10.1698,5.8601
Yolo,3401,12.9080,5.1749,2.9109,3.8518,2.4405,5.9100,2.9991,7.2038,3.3520,6.9391,15.4660,12.2023,5.8218,2.5581,6.5275,3.7342
Yuba,985,2.6396,3.0457,1.2183,6.8020,2.8426,13.0964,4.0609,4.5685,0.9137,13.8071,5.3807,12.1827,14.5178,8.3249,4.2640,2.3350
Alameda,46103,3.9672,2.8371,2.5161,3.6006,2.4619,3.8024,3.5334,5.2014,3.4531,8.0646,9.5417,16.4219,11.6977,7.4702,8.6025,6.8282
Amador,325,0.0000,0.0000,5.8462,0.0000,0.0000,0.0000,2.1538,12.3077,0.0000,8.3077,14.1538,34.1538,9.5385,1.2308,10.7692,1.5385
Butte,2881,7.3933,3.1586,4.2346,6.9420,7.2197,5.6230,4.3735,2.4991,10.6560,7.8098,14.3700,13.0857,5.7272,3.2280,2.1173,1.5620
Calaveras,97,0.0000,0.0000,0.0000,0.0000,26.8041,0.0000,0.0000,11.3402,0.0000,35.0515,0.0000,19.5876,7.2165,0.0000,0.0000,0.0000
Colusa,295,11.5254,1.3559,0.0000,8.1356,4.0678,0.0000,0.0000,1.3559,5.7627,11.8644,12.8814,16.2712,19.6610,0.6780,3.0508,3.3898
"Contra Costa",30280,2.8137,2.6618,2.8798,2.5297,4.0786,4.5079,4.1843,3.2299,4.0588,8.6856,11.7569,17.1499,10.6308,8.9300,6.2417,5.6605
"Del Norte",633,6.0032,2.2117,7.4250,11.2164,12.7962,0.0000,0.0000,5.0553,3.1596,4.8973,0.7899,24.4866,0.0000,5.6872,1.8957,14.3760
"El Dorado",1194,2.6801,0.8375,4.1039,3.0988,6.7839,3.3501,0.0000,2.6801,9.2127,12.4791,11.3903,16.5829,3.6851,8.7102,5.8626,8.5427
Fresno,38719,6.9113,6.2218,5.6148,8.2673,4.9511,6.5291,5.3850,5.5399,4.9459,7.0327,11.4802,11.0256,8.2440,3.1457,2.5440,2.1617
Glenn,924,4.0043,18.3983,9.9567,7.2511,5.7359,0.0000,1.9481,9.3074,2.7056,13.4199,9.8485,4.8701,5.9524,0.6494,5.6277,0.3247
Humboldt,1708,4.8009,5.7963,10.9485,2.9274,9.6604,2.3419,9.6019,5.5621,5.1522,1.4637,14.2272,17.4473,1.4637,0.4684,5.2108,2.9274
Imperial,11430,6.5879,10.6474,9.1164,8.4164,3.3858,6.3780,3.7970,4.9606,6.2730,6.8941,11.0149,9.5976,5.3893,2.8346,2.6597,2.0472
Inyo,185,0.0000,0.0000,0.0000,0.0000,7.5676,0.0000,2.1622,2.1622,0.0000,3.2432,17.8378,61.6216,0.0000,0.0000,5.4054,0.0000
Kern,29780,5.8831,5.9570,5.4936,5.2552,6.3600,6.0678,5.9234,4.9530,4.9866,8.2404,9.9463,13.2001,8.2874,4.3788,3.3613,1.7058
Kings,5705,6.7309,3.0500,4.6626,3.3479,6.2401,6.1350,5.4163,10.4470,6.9588,11.2533,8.8168,11.9544,10.6398,1.4373,2.2612,0.6486
Lake,1784,7.7915,5.3812,0.6726,11.3229,2.8027,8.9686,6.0538,5.4372,8.4641,5.9417,6.3341,13.2848,7.1188,2.2982,6.3901,1.7377
Lassen,98,0.0000,0.0000,1.0204,0.0000,0.0000,0.0000,63.2653,3.0612,1.0204,11.2245,3.0612,15.3061,1.0204,1.0204,0.0000,0.0000
"Los Angeles",536209,4.8030,4.1232,4.2911,5.0659,5.1946,5.4190,5.0988,5.2304,4.4263,8.7716,11.5576,13.5095,8.7274,5.3138,5.1038,3.3642
Madera,8812,5.5039,5.5039,4.5166,5.4698,7.5125,4.5847,8.1366,5.2542,5.9010,6.8883,11.0985,11.7000,7.9210,4.0853,3.2569,2.6668
Marin,4555,3.3809,3.6663,4.8518,3.9517,2.9199,2.3710,6.4764,6.1910,2.0198,9.3085,18.9243,11.7453,5.2031,8.1449,3.9078,6.9374
Mariposa,212,0.0000,7.5472,8.4906,6.6038,0.0000,25.9434,7.0755,0.0000,2.8302,0.0000,0.0000,21.6981,0.0000,0.0000,12.2642,7.5472
Mendocino,1296,12.4228,11.3426,6.7901,3.2407,0.3858,1.7747,5.7870,0.0772,0.6944,16.2037,9.3364,14.7377,8.7963,1.9290,3.7037,2.7778
Merced,20238,4.2247,5.6429,5.1141,5.4996,4.4372,5.2377,5.8356,5.7713,6.5866,8.9287,14.7594,12.4469,7.1252,4.1555,3.0734,1.1612
Modoc,55,0.0000,7.2727,16.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.3636,0.0000,0.0000,0.0000,0.0000,0.0000
Mono,124,0.0000,0.0000,0.0000,0.8065,1.6129,0.0000,14.5161,4.0323,0.0000,59.6774,0.0000,0.0000,0.0000,0.0000,0.0000,19.3548
Monterey,33529,2.7499,2.9378,3.1942,5.6339,4.7302,5.2909,5.2253,6.2304,5.2850,10.3164,11.6705,16.3620,8.9326,4.6199,4.4976,2.3234
Napa,3576,4.2506,4.3345,2.2931,2.8803,5.5928,3.8591,2.2092,6.0962,5.7327,7.4385,8.8926,13.5067,14.4575,5.0615,6.9072,6.4877
Nevada,416,0.0000,0.0000,0.0000,5.2885,0.0000,0.0000,0.0000,16.3462,6.4904,28.3654,11.2981,10.5769,4.0865,2.4038,4.5673,10.5769
Orange,86653,3.2590,2.4454,2.7674,4.5457,4.8596,4.4176,4.7534,4.5273,4.1614,8.2294,11.8830,13.9880,11.2310,7.0373,7.2081,4.6865
Placer,2662,4.2449,4.0195,9.9549,4.3576,2.6296,2.3291,5.5973,2.3291,1.5026,5.8227,9.2412,15.7025,9.2036,8.2269,5.9730,8.8655
Plumas,75,0.0000,0.0000,6.6667,0.0000,0.0000,0.0000,0.0000,10.6667,0.0000,0.0000,38.6667,0.0000,44.0000,0.0000,0.0000,0.0000
Riverside,132601,6.5196,3.9472,5.0595,5.4638,6.0980,4.6855,4.2488,5.1161,4.1764,8.4856,12.1047,12.7759,8.8974,5.0166,4.7413,2.6636
Sacramento,35466,6.4794,4.4324,3.9672,3.9615,4.9230,5.8648,5.4221,6.2595,5.6251,10.9964,11.2023,11.9523,7.9795,3.9164,3.9023,3.1157
"San Benito",1567,2.7441,2.8717,2.1059,3.7013,3.8928,3.4461,3.6375,1.9145,2.0421,5.9349,14.6139,14.3586,13.9757,7.0198,12.6356,5.1053
"San Bernardino",93624,3.9018,3.4991,3.4083,4.1154,4.5309,4.9442,4.2596,4.5939,4.2970,9.7315,13.1003,14.8541,9.5926,5.7827,6.1790,3.2096
"San Diego",55538,4.2241,3.6281,2.9673,4.3718,4.5536,4.4960,4.4798,4.3916,4.7211,9.3630,12.5320,13.1099,10.8664,6.1687,5.5386,4.5878
"San Francisco",18661,5.4124,6.9396,2.6258,4.5389,3.4886,4.3728,2.8134,3.1349,3.0652,7.5612,9.4154,10.4496,9.0242,6.6074,9.8333,10.7175
"San Joaquin",19785,3.8160,3.5987,3.6644,4.3568,4.4832,5.6760,4.7915,5.5396,4.0081,10.6192,11.7715,12.6409,10.0531,4.8572,3.3965,6.7273
"San Luis Obispo",3024,6.3161,2.5132,4.0675,0.0000,2.1164,7.3413,4.1667,4.4312,6.7130,12.5331,10.0198,11.7063,10.0198,7.8042,5.4563,4.7950
"San Mateo",19963,2.5547,1.9987,2.8252,2.9505,3.2360,5.1395,4.5935,5.0393,3.1759,8.5258,8.3605,17.4823,10.6998,7.4538,7.5590,8.4056
"Santa Barbara",10956,4.0800,3.2311,3.5506,5.5221,2.7656,3.3224,5.2118,7.2289,4.1347,8.0504,9.4925,14.2205,10.6243,6.5626,6.7178,5.2848
"Santa Clara",44400,3.3333,2.3559,2.7568,3.4302,2.9144,3.6644,3.3761,4.8446,4.3288,6.2410,10.4527,14.6667,11.0608,8.5315,9.2658,8.7770
"Santa Cruz",9028,3.1347,4.9623,5.1174,5.0510,3.3341,5.1949,3.6996,2.0381,4.8626,10.2127,10.2237,17.2796,8.7727,6.7900,3.6221,5.7045
Shasta,1281,10.8509,1.1710,3.5129,9.6019,9.8361,4.7619,3.1226,1.9516,10.3044,11.7877,13.8954,11.7877,2.6542,0.0000,2.1858,2.5761
Sierra,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
Siskiyou,297,16.8350,11.4478,0.6734,0.0000,6.0606,10.7744,6.3973,5.3872,17.5084,3.3670,1.0101,8.7542,6.3973,5.3872,0.0000,0.0000
Solano,9953,2.2003,1.4870,2.0999,3.0544,4.9935,2.0195,2.8936,7.6359,3.1146,7.0933,12.1471,17.4922,14.0360,7.5455,6.4202,5.7671
Sonoma,15304,5.1228,2.5484,4.5152,2.0714,2.9535,5.2078,5.2470,3.5938,4.8745,9.6445,10.1673,19.3544,8.7559,7.5013,5.1620,3.2802
Stanislaus,14524,3.9177,2.7196,3.0570,5.8662,3.8075,6.3825,5.2878,5.0468,5.8317,9.0264,13.1025,13.9906,9.1710,6.5684,2.6783,3.5459
Sutter,1526,5.5046,5.9633,3.5387,3.2765,3.8008,3.3421,12.4509,3.9974,2.8178,7.4050,12.7785,11.9921,8.5845,6.4220,5.6356,2.4902
Tehama,886,3.3860,12.9797,9.8194,22.3476,2.4831,6.6591,0.0000,3.6117,8.8036,4.7404,0.0000,23.2506,0.2257,0.0000,0.0000,1.6930
Trinity,188,1.5957,39.3617,0.5319,12.2340,1.5957,0.0000,0.0000,6.9149,0.0000,0.0000,0.0000,31.9149,5.8511,0.0000,0.0000,0.0000
Tulare,22474,7.7912,6.3763,4.5030,6.5765,5.6910,6.3407,4.6098,5.7622,5.0903,10.3230,10.9549,13.0373,4.2894,3.4084,3.5285,1.7175
Tuolumne,370,0.0000,0.0000,0.0000,0.0000,4.0541,0.0000,10.2703,0.0000,7.5676,3.5135,4.5946,24.5946,19.7297,19.1892,6.4865,0.0000
Ventura,10836,2.9623,2.6024,3.4238,2.4179,3.3776,3.8760,3.7468,5.4540,4.4112,6.5615,10.4467,14.5164,10.6774,9.4961,10.1698,5.8601
Yolo,3401,12.9080,5.1749,2.9109,3.8518,2.4405,5.9100,2.9991,7.2038,3.3520,6.9391,15.4660,12.2023,5.8218,2.5581,6.5275,3.7342
Yuba,985,2.6396,3.0457,1.2183,6.8020,2.8426,13.0964,4.0609,4.5685,0.9137,13.8071,5.3807,12.1827,14.5178,8.3249,4.2640,2.3350
